"","x"
"696",3.23451579907798e-07
"697",3.17376520638365e-07
"698",3.18181029227058e-07
"699",3.21474352320627e-07
"700",3.41097653507732e-07
"701",3.45952962377178e-07
"702",3.47937204885167e-07
"703",3.31221992415375e-07
"704",3.55150865023385e-07
"705",3.53271348788351e-07
"706",3.69337536694606e-07
"707",3.73095686296136e-07
"708",3.79183018701301e-07
"709",3.66094061261227e-07
"710",3.71957635611615e-07
"711",3.86847478952215e-07
"712",3.96008156790253e-07
"713",4.04150568406445e-07
"714",4.15407297457268e-07
"715",4.07608559838349e-07
"716",4.35493259770182e-07
"717",4.04900881167035e-07
"718",4.08538295265562e-07
"719",4.21997224935655e-07
"720",4.35464944674023e-07
"721",4.52266016309091e-07
"722",4.47205385654442e-07
"723",4.42792220016539e-07
"724",4.68917079054238e-07
"725",4.67871136941531e-07
"726",4.87858473501004e-07
"727",4.56925873791183e-07
"728",4.6919623977105e-07
"729",5.04709856821699e-07
"730",5.29762734272475e-07
"731",5.17951727222788e-07
"732",5.09639523933569e-07
"733",5.17021301249114e-07
"734",5.20594670083246e-07
"735",5.34214513939776e-07
"736",5.60216748060372e-07
"737",5.59051138271405e-07
"738",5.45503511160238e-07
"739",5.38896152831546e-07
"740",6.23586840031539e-07
"741",5.80515372442217e-07
"742",5.8371131647474e-07
"743",6.17948147069003e-07
"744",5.71225311625974e-07
"745",6.06094140886992e-07
"746",6.67331258410458e-07
"747",6.42248699737371e-07
"748",6.37119090607104e-07
"749",7.00772019102849e-07
"750",6.58165497865416e-07
"751",6.67618949893063e-07
"752",6.93085891578235e-07
"753",7.07326642052044e-07
"754",7.89735526033231e-07
"755",9.1096061279302e-07
"756",1.00664426861143e-06
"757",1.15319775155688e-06
"758",1.34727722670085e-06
"759",1.32742948386105e-06
"760",1.4067561032356e-06
"761",1.38261539313621e-06
"762",1.7732989925727e-06
"763",1.86123960997815e-06
"764",1.85057568801594e-06
"765",1.73418985976061e-06
"766",1.71859280882342e-06
"767",1.95900720523439e-06
"768",2.04412415198133e-06
"769",1.96436153931644e-06
"770",1.98841994023646e-06
"771",2.21109614297326e-06
"772",2.11047968751607e-06
"773",2.12810063530435e-06
"774",2.19883149684564e-06
"775",2.21760906715059e-06
"776",2.25034614868786e-06
"777",2.32587197628097e-06
"778",2.28437680000632e-06
"779",2.51933227122399e-06
"780",2.26172892526626e-06
"781",2.35980294727485e-06
"782",2.40043204730747e-06
"783",1.94160764385331e-06
"784",1.92720702400339e-06
"785",1.92142049961793e-06
"786",2.0217733137127e-06
"787",2.037682466284e-06
"788",2.12371098902943e-06
"789",1.821951595561e-06
"790",1.8706483761689e-06
"791",1.24839354491152e-06
"792",1.27802174525386e-06
"793",1.23936102080177e-06
"794",1.38414895729183e-06
"795",1.25854153886531e-06
"796",1.31385071521682e-06
"797",1.32966642412036e-06
"798",1.38000441494501e-06
"799",1.45039838499387e-06
